age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
56.0, Without-pay,124845.0, 11th,7.0, Widowed, Craft-repair, Not-in-family, White, Female,0.0,0.0,21.0, United-States, <=50K
49.0, Private,253873.0, HS-grad,9.0, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K
35.0, Private,99201.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Wife, White, Male,0.0,0.0,12.0, United-States, <=50K
38.0, Private,216205.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
46.0, Private,205167.0, 9th,5.0, Never-married, Craft-repair, Other-relative, White, Female,0.0,0.0,40.0, Mexico, <=50K
49.0, Without-pay,257928.0, 11th,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,22.0, United-States, <=50K
35.0, Private,185048.0, HS-grad,9.0, Married-spouse-absent, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0.0,0.0,35.0, ?, <=50K
40.0, Private,252114.0, Bachelors,13.0, Married-AF-spouse, Exec-managerial, Wife, White, Female,0.0,1764.0,40.0, Taiwan, >50K
22.0, ?,294275.0, Some-college,10.0, Never-married, ?, Other-relative, White, Female,0.0,0.0,40.0, United-States, <=50K
41.0, Private,189942.0, Bachelors,13.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Private,137624.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
17.0, ?,319069.0, 11th,7.0, Never-married, ?, Own-child, White, Male,0.0,0.0,25.0, United-States, <=50K
36.0, Private,219725.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,23.0, United-States, <=50K
49.0, Private,196432.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,5994.0,0.0,40.0, United-States, <=50K
61.0, Federal-gov,30075.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
55.0, Local-gov,221500.0, Masters,14.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,47.0, United-States, <=50K
43.0, Federal-gov,183172.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Local-gov,115418.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Black, Female,0.0,0.0,40.0, Jamaica, <=50K
58.0, State-gov,142392.0, Prof-school,15.0, Separated, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, Greece, >50K
39.0, Private,181749.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,49.0, United-States, <=50K
64.0, Private,181035.0, HS-grad,9.0, Married-spouse-absent, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
68.0, Self-emp-not-inc,96540.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,8724.0,0.0,48.0, United-States, <=50K
34.0, Self-emp-inc,98919.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Male,0.0,0.0,47.0, United-States, >50K
24.0, Private,240931.0, 10th,7.0, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Federal-gov,208985.0, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States, <=50K
34.0, Private,121016.0, 1st-4th,2.0, Separated, Priv-house-serv, Unmarried, White, Female,0.0,0.0,34.0, Mexico, <=50K
33.0, Private,121432.0, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, ?, <=50K
38.0, Local-gov,539406.0, Doctorate,15.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,61.0, United-States, >50K
45.0, Private,170474.0, Assoc-acdm,12.0, Never-married, Adm-clerical, Unmarried, White, Female,0.0,0.0,6.0, United-States, <=50K
55.0, Private,427288.0, 5th-6th,10.0, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, ?, <=50K
42.0, Private,200945.0, Assoc-acdm,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,49.0, United-States, >50K
68.0, Private,98578.0, Some-college,10.0, Widowed, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K
24.0, State-gov,201366.0, 7th-8th,12.0, Never-married, Adm-clerical, Other-relative, White, Female,0.0,0.0,34.0, England, <=50K
67.0, Private,354024.0, Prof-school,4.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
29.0, Private,258242.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Federal-gov,159864.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
42.0, Self-emp-inc,162874.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
37.0, Local-gov,149299.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,52.0, United-States, <=50K
29.0, Private,205427.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
49.0, Private,188432.0, 9th,5.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
50.0, Local-gov,244926.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
50.0, Private,319760.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, Black, Male,0.0,0.0,35.0, United-States, <=50K
47.0, Self-emp-inc,151958.0, Bachelors,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,48.0, United-States, >50K
36.0, State-gov,199184.0, HS-grad,9.0, Never-married, Other-service, Own-child, Black, Female,0.0,0.0,37.0, Iran, <=50K
56.0, Private,94052.0, HS-grad,9.0, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,90.0, Laos, <=50K
44.0, Private,199065.0, 10th,7.0, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,40.0, Puerto-Rico, <=50K
44.0, Self-emp-inc,118292.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, Germany, <=50K
53.0, Self-emp-not-inc,207794.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
32.0, Private,194820.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0.0,0.0,49.0, Haiti, <=50K
59.0, Private,337310.0, Assoc-acdm,12.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,48.0, United-States, <=50K
35.0, Private,129093.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5070.0,0.0,47.0, United-States, <=50K
43.0, Self-emp-not-inc,188351.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,11.0, United-States, <=50K
57.0, Federal-gov,213201.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
47.0, Private,171149.0, 10th,4.0, Separated, Other-service, Unmarried, Other, Female,0.0,0.0,40.0, United-States, <=50K
27.0, Private,179444.0, HS-grad,9.0, Never-married, Adm-clerical, Other-relative, White, Male,0.0,0.0,49.0, United-States, <=50K
62.0, Private,104977.0, 7th-8th,4.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, England, <=50K
35.0, Private,303533.0, Some-college,10.0, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Self-emp-inc,128427.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,48.0, United-States, >50K
44.0, Private,136499.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,8949.0,1823.0,40.0, United-States, >50K
56.0, Private,184089.0, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,51.0, ?, <=50K
28.0, Private,192476.0, HS-grad,9.0, Never-married, Other-service, Unmarried, Black, Female,0.0,0.0,36.0, United-States, <=50K
43.0, Self-emp-inc,37087.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0.0,0.0,54.0, United-States, >50K
42.0, Private,178433.0, HS-grad,9.0, Separated, Sales, Unmarried, Black, Male,0.0,0.0,34.0, Laos, <=50K
50.0, Private,113508.0, HS-grad,9.0, Divorced, Other-service, Unmarried, Black, Female,0.0,0.0,40.0, ?, <=50K
34.0, Private,209838.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Female,0.0,0.0,40.0, United-States, >50K
61.0, Self-emp-not-inc,274925.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Self-emp-not-inc,114925.0, HS-grad,10.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,35.0, Puerto-Rico, <=50K
38.0, Private,195096.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, India, >50K
22.0, Private,177180.0, 5th-6th,12.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,40.0, Italy, <=50K
35.0, Private,178780.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
58.0, Private,208466.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, Canada, >50K
34.0, Private,146666.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,3951.0,0.0,40.0, United-States, <=50K
35.0, Private,156993.0, HS-grad,9.0, Widowed, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0.0,0.0,34.0, ?, <=50K
61.0, Private,108503.0, Some-college,10.0, Widowed, Priv-house-serv, Not-in-family, White, Female,0.0,0.0,48.0, United-States, <=50K
52.0, Private,27483.0, Some-college,10.0, Separated, Craft-repair, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
35.0, Private,184458.0, Some-college,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,34.0, Thailand, <=50K
54.0, Private,181159.0, 7th-8th,4.0, Married-spouse-absent, Other-service, Unmarried, White, Female,0.0,0.0,40.0, Puerto-Rico, <=50K
39.0, Federal-gov,34799.0, HS-grad,9.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,36.0, United-States, <=50K
45.0, Private,184738.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,48.0, United-States, <=50K
27.0, Private,39806.0, Masters,14.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
34.0, Private,197070.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
41.0, Private,136677.0, HS-grad,9.0, Never-married, Other-service, Other-relative, Black, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Private,503171.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, Cuba, <=50K
24.0, Private,166211.0, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, Black, Male,0.0,0.0,52.0, United-States, <=50K
36.0, Private,123216.0, Bachelors,13.0, Separated, Exec-managerial, Unmarried, White, Female,0.0,0.0,33.0, United-States, <=50K
69.0, Private,280899.0, 1st-4th,2.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,34.0, Mexico, <=50K
36.0, Private,227248.0, Preschool,2.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Mexico, <=50K
56.0, Private,142899.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
38.0, Private,214469.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Vietnam, >50K
64.0, Federal-gov,216434.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
22.0, ?,232303.0, HS-grad,9.0, Never-married, ?, Own-child, Black, Male,0.0,0.0,34.0, United-States, <=50K
34.0, Local-gov,405587.0, HS-grad,9.0, Separated, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K
42.0, State-gov,246170.0, Some-college,10.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Federal-gov,282787.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Local-gov,109447.0, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
26.0, Private,198511.0, Some-college,10.0, Never-married, Exec-managerial, Other-relative, White, Female,0.0,0.0,40.0, Vietnam, <=50K
75.0, Self-emp-inc,203233.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1786.0,40.0, Hong, >50K
53.0, Private,149172.0, Bachelors,13.0, Separated, Other-service, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,10.0, Columbia, >50K
36.0, Private,191900.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,11.0, United-States, <=50K
32.0, Local-gov,560929.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Female,0.0,0.0,40.0, Japan, <=50K
35.0, Self-emp-not-inc,257596.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1961.0,40.0, United-States, >50K
50.0, Private,116797.0, Bachelors,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,51.0, Italy, <=50K
37.0, Private,224144.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,44.0, United-States, <=50K
29.0, Private,187534.0, Some-college,10.0, Never-married, Other-service, Unmarried, Black, Male,0.0,0.0,40.0, Cambodia, <=50K
32.0, Local-gov,208179.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,332995.0, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,34.0, United-States, <=50K
41.0, Private,159840.0, Masters,14.0, Divorced, Exec-managerial, Wife, White, Female,0.0,0.0,47.0, United-States, <=50K
60.0, Private,49767.0, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Private,173535.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,46.0, United-States, <=50K
25.0, Private,34016.0, 11th,7.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,37.0, United-States, <=50K
36.0, Local-gov,87792.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,165068.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
50.0, Private,190882.0, 1st-4th,2.0, Separated, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,40.0, Mexico, <=50K
36.0, Private,228764.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Other, Male,0.0,0.0,40.0, Outlying-US(Guam-USVI-etc), <=50K
60.0, Private,268331.0, 10th,10.0, Divorced, Craft-repair, Unmarried, White, Male,0.0,0.0,49.0, United-States, <=50K
38.0, Self-emp-not-inc,131921.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Other, Male,0.0,0.0,83.0, United-States, <=50K
35.0, Private,95141.0, Bachelors,13.0, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0.0,0.0,60.0, United-States, <=50K
47.0, Self-emp-not-inc,276663.0, 7th-8th,4.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,12.0, El-Salvador, <=50K
27.0, Private,278064.0, Some-college,10.0, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Vietnam, <=50K
22.0, Private,287207.0, 10th,6.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,22.0, United-States, <=50K
39.0, Local-gov,182734.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
59.0, Private,483265.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, Vietnam, <=50K
27.0, Private,270604.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,1816.0,40.0, United-States, <=50K
23.0, Private,31147.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0.0,0.0,36.0, United-States, <=50K
20.0, Private,196834.0, Some-college,13.0, Never-married, Sales, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
30.0, State-gov,194120.0, Bachelors,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, Dominican-Republic, >50K
33.0, Private,103969.0, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0.0,0.0,40.0, South, <=50K
20.0, Private,191277.0, 11th,7.0, Never-married, Other-service, Not-in-family, Black, Male,0.0,0.0,22.0, United-States, <=50K
74.0, Self-emp-inc,181527.0, Prof-school,15.0, Widowed, Prof-specialty, Not-in-family, Black, Male,0.0,0.0,34.0, United-States, >50K
19.0, Private,293522.0, Assoc-acdm,12.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
34.0, Private,147732.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Other, Male,0.0,0.0,60.0, United-States, <=50K
53.0, Private,160468.0, Some-college,10.0, Divorced, Transport-moving, Not-in-family, Black, Female,0.0,0.0,40.0, Puerto-Rico, <=50K
71.0, State-gov,312425.0, Assoc-acdm,12.0, Never-married, Prof-specialty, Unmarried, White, Female,0.0,0.0,47.0, United-States, <=50K
39.0, Private,224615.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Philippines, >50K
57.0, Private,205856.0, HS-grad,9.0, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,33.0, Vietnam, <=50K
55.0, Without-pay,162795.0, Some-college,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
26.0, Local-gov,197029.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,34.0, Mexico, <=50K
40.0, Private,204008.0, Assoc-acdm,12.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
59.0, Private,174159.0, Some-college,10.0, Widowed, Sales, Wife, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States, <=50K
52.0, Private,197670.0, HS-grad,9.0, Widowed, Other-service, Not-in-family, Black, Female,0.0,0.0,23.0, United-States, <=50K
36.0, State-gov,176782.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,49.0, United-States, <=50K
45.0, Private,168923.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
31.0, State-gov,33767.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,7.0, United-States, <=50K
33.0, Private,196016.0, 9th,4.0, Married-spouse-absent, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,40.0, Taiwan, <=50K
17.0, Local-gov,189710.0, 11th,7.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
62.0, Private,182742.0, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
26.0, Private,389412.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0.0,1836.0,40.0, United-States, <=50K
28.0, Never-worked,261036.0, 10th,7.0, Never-married, ?, Own-child, Black, Female,0.0,0.0,40.0, United-States, <=50K
56.0, ?,118821.0, HS-grad,9.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,28.0, China, <=50K
31.0, Self-emp-not-inc,132993.0, HS-grad,9.0, Never-married, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Female,0.0,0.0,34.0, United-States, <=50K
66.0, Private,175763.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
39.0, Self-emp-not-inc,168936.0, HS-grad,9.0, Never-married, Tech-support, Own-child, White, Male,0.0,0.0,40.0, Italy, <=50K
60.0, ?,198312.0, Bachelors,13.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,18.0, United-States, <=50K
36.0, Federal-gov,386494.0, Bachelors,13.0, Never-married, Tech-support, Other-relative, Black, Female,0.0,0.0,40.0, United-States, <=50K
58.0, Self-emp-not-inc,125647.0, Assoc-acdm,12.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
63.0, Private,157940.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Male,0.0,0.0,40.0, United-States, <=50K
24.0, Private,276210.0, Assoc-acdm,12.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,50.0, United-States, <=50K
26.0, Local-gov,169446.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
63.0, Private,226950.0, 7th-8th,4.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,51.0, Scotland, <=50K
38.0, Private,512801.0, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, Vietnam, <=50K
37.0, Private,102726.0, Some-college,10.0, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K
52.0, Private,207300.0, Bachelors,13.0, Separated, Exec-managerial, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
38.0, Private,126888.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
54.0, Private,179169.0, Some-college,10.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
35.0, Private,169309.0, HS-grad,9.0, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0.0,0.0,40.0, Honduras, <=50K
37.0, Private,171206.0, HS-grad,9.0, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0.0,0.0,40.0, China, <=50K
18.0, State-gov,424850.0, 9th,4.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,31.0, United-States, <=50K
21.0, Local-gov,332712.0, Some-college,10.0, Never-married, ?, Own-child, White, Male,0.0,0.0,35.0, United-States, <=50K
48.0, Private,240390.0, Some-college,10.0, Never-married, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
45.0, Self-emp-not-inc,293451.0, 12th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
43.0, Private,328220.0, Assoc-voc,11.0, Never-married, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
44.0, Private,127180.0, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K
37.0, Private,155176.0, Assoc-acdm,9.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Private,163165.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
52.0, Private,170297.0, Some-college,10.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,9.0, United-States, <=50K
65.0, Private,292286.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
65.0, Private,175346.0, 7th-8th,9.0, Widowed, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
50.0, Local-gov,114422.0, 10th,4.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,36.0, United-States, <=50K
25.0, Private,318492.0, 10th,7.0, Divorced, Transport-moving, Unmarried, Black, Male,0.0,0.0,40.0, United-States, <=50K
67.0, ?,45500.0, HS-grad,9.0, Widowed, ?, Not-in-family, White, Female,0.0,0.0,11.0, United-States, <=50K
